Name,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
X PAT_L_do 9,21.53237305,18.48145447,38.30553894,12.09040909,6.933248901,31.2498291,-4.399580002,17.06229248,21.66800232,20.13780365,18.60230865,17.07677307,7.169145966,17.8632843,38.06394043,12.17701035,32.00820313,-4.353739166,19.85011292,17.11239014
Y PAT_L_do 9,-98.20599365,-33.8947052,-10.68573837,-29.87928162,-100.4644165,11.43721008,-26.54850464,-99.36228638,-98.41903687,-38.5326355,-34.63911438,-27.34162903,-99.91699829,-99.92038574,-10.47543564,-29.17878418,11.18264008,-25.34044495,-38.64240723,-27.50428467
Z PAT_L_do 9,3.985333252,3.6711689,40.68925476,35.50909424,23.51760254,45.5285675,-2.979646873,45.91810608,3.895680237,3.404148865,3.724127579,63.74124146,23.0942215,45.71658325,40.67175293,35.54032593,46.25970154,-2.905653572,3.400712204,63.85847168
X PAT_L_do 8,35.60568237,22.72947235,34.8099762,14.9412323,-3.495476151,25.04649963,-15.67488556,5.308420563,35.13473206,27.39211426,22.66338348,8.733034515,-2.980979156,5.263248825,34.81185608,15.12285461,25.07286835,-15.89257355,27.10527649,8.568003845
Y PAT_L_do 8,-97.02880859,-36.88493347,-23.01546478,-31.10401917,-99.09611206,-0.056560874,-27.63110046,-97.7210083,-96.73527832,-25.96362,-37.21170959,-37.06812744,-99.18416748,-97.98397827,-23.20287476,-31.06492004,0.054470998,-26.97426453,-26.73375549,-37.50787048
Z PAT_L_do 8,-0.725038052,-7.872275543,40.17032776,49.18206482,33.22425232,50.23912354,-9.729432678,40.64282532,-0.901932621,1.894394302,-8.071764374,57.47263794,33.05052795,40.52278748,40.04124146,49.4053772,50.22627563,-9.654341125,1.614878464,57.07728882
X PAT_L_do 7,26.43355408,22.2901001,33.18456116,11.55132446,4.915194321,24.37569885,-8.575115204,10.91357956,26.36953125,21.51000977,22.30903778,10.13271484,5.188132858,11.16807327,33.09687195,11.52801895,24.73348083,-8.521747589,21.20048218,9.738947296
Y PAT_L_do 7,-94.49099121,-38.37220764,-15.91632843,-34.51260986,-95.67952881,7.462206268,-30.68583069,-94.47667847,-94.25873413,-31.84493713,-38.76972961,-28.53023376,-95.46789551,-94.9083313,-15.9614502,-34.25849304,7.444565582,-29.74765625,-32.16630859,-28.7145752
Z PAT_L_do 7,-1.079152584,-0.798621845,42.51833496,41.73413391,29.46444092,46.09225769,-7.536003876,46.03085938,-1.062823677,-1.608296585,-0.847462559,59.61350098,29.03029785,46.05048828,42.5355896,41.93768005,46.38912354,-7.50459671,-1.530049706,59.36435547
X PAT_L_do 6,20.76013947,18.4872406,29.59779358,13.74929199,8.495283508,24.73013763,-4.708463669,17.7843811,20.77336884,12.37115097,18.51581879,13.96646881,8.509851074,18.03871613,29.36655579,13.66834869,24.98824615,-4.601421738,12.2598999,14.1681778
Y PAT_L_do 6,-89.1277832,-42.22347412,-8.813010406,-38.87967224,-90.08516235,11.81104279,-34.69463196,-89.16954956,-89.05678101,-34.03795166,-42.4973938,-21.03343506,-89.46322632,-89.41343384,-8.772296906,-38.57983093,11.8888443,-33.92345276,-34.06598511,-20.85268097
Z PAT_L_do 6,3.598046112,5.183773804,40.95115356,34.49559937,22.74339752,38.46589661,-1.612229156,46.38276367,3.577402878,-1.865307045,5.150775528,56.77285156,22.50846405,46.37419739,40.91544495,34.49802246,38.71535034,-1.680082512,-1.826664734,56.73297729
X PAT_L_do 5,26.82348022,21.53939362,25.37970123,14.98595123,3.641124344,18.8919632,-10.23445969,11.10845642,26.95428162,14.78030396,21.51620636,8.237520599,3.716884613,11.18551178,25.20564423,15.09601593,18.9532608,-9.995640564,14.46669006,8.13274231
Y PAT_L_do 5,-86.06182251,-45.4085907,-15.03153229,-42.22040405,-86.32553101,6.184486389,-37.65779419,-85.22562866,-85.73519287,-26.43330688,-45.46676636,-23.82653809,-85.78202515,-85.30480347,-15.15563049,-42.26112976,6.220104599,-37.26875,-26.58774719,-23.86927185
Z PAT_L_do 5,-0.594495726,-0.843109989,41.06113586,41.29650879,27.802771,39.29800415,-5.401092148,44.1205658,-0.598435831,-4.569701004,-0.833125019,51.73093872,27.58972168,44.19793091,40.96364441,41.47035217,39.39036865,-5.537446976,-4.608161545,51.50424194
X PAT_L_do 4,21.275737,17.55117188,22.26813812,16.6150177,7.359693146,19.31454926,-5.965561676,17.57570648,21.30788269,5.959313202,17.59891052,11.85762634,7.223021698,17.72174988,22.19677582,16.56200104,19.30063477,-5.874730682,5.943981171,11.96149063
